AGE GROUP,REGISTERED VOTER,MALE,FEMALE,LITERACY,INDIGENOUS PEOPLE,PWD,SINGLE,MARRIED,WIDOW/ER,LEGALLY SEPARATED
18 - 19,3043411,1468419,1574992,1,11466,4705,2987485,55363,236,327
20 - 24,7983167,3961385,4021782,1,18146,12736,7424514,555385,1529,1739
25 - 29,7370037,3674553,3695484,1,11335,10429,5907274,1455149,4678,2936
30 - 34,6333398,3134804,3198594,1,10925,16965,3780301,2535878,12487,4732
35 - 39,5764839,2824826,2940013,1,9849,21408,2400928,3329170,26664,8077
40 - 44,5100591,2490353,2610238,1,8677,23652,1395450,3645592,47137,12412
45 - 49,4680698,2264228,2416470,1,7618,26427,876310,3712479,75601,16308
50 - 54,4025439,1923959,2101480,1,6164,27231,547367,3349850,110054,18168
55 - 59,3367013,1593213,1773800,1,5052,27201,353174,2842230,153142,18467
60 - 64,2596255,1211818,1384437,1,3756,29158,226416,2168392,186053,15394
65 - Above,4098996,1764148,2334848,1,6776,118101,290409,3138347,650423,19817
